username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
NoticiasRCN;2016/01/01 12:10;18;8;""Aunque hay programas valiosos, también hay muchísimos gastos de muy discutible impacto": @EnriquePenalosa. http://bit.ly/12L5yRG ";;@EnriquePenalosa;;"682972246114189312";https://twitter.com/NoticiasRCN/status/682972246114189312
idubogota;2016/01/01 12:10;2;2;""Estamos preparados para enfrentar retos, vamos a superar las adversidades. Pueden estar tranquilos" @EnriquePenalosa #BogotaMejorParaTodos";;@EnriquePenalosa;#BogotaMejorParaTodos;"682972236127596544";https://twitter.com/idubogota/status/682972236127596544
NattiRueda;2016/01/01 12:10;1;2;""No habrá milagros pero pueden estar tranquilos. Solicito a los ciudadanos paciencia", @EnriquePenalosa";;@EnriquePenalosa;;"682972234856665093";https://twitter.com/NattiRueda/status/682972234856665093
KMUX;2016/01/01 12:10;0;0;"@CMILANOTICIA @EnriquePenalosa Si wbn, tienes toda la razón, obvio tu visión europea y proyección nos sacará del hueco, fo!: un simpatizante";;@CMILANOTICIA @EnriquePenalosa;;"682972217655844864";https://twitter.com/KMUX/status/682972217655844864
luciabastidasu;2016/01/01 12:10;68;95;"No habrá milagros pero estamos preparados para asumir los retos.Necesitamos el apoyo de los ciudadanos y paciencia @EnriquePenalosa";;@EnriquePenalosa;;"682972197485441024";https://twitter.com/luciabastidasu/status/682972197485441024
AmbienteBogota;2016/01/01 12:10;2;1;". @EnriquePenalosa toma juramento como alcalde Mayor de @Bogota_DCpic.twitter.com/1Fz9lZzQQZ";;@EnriquePenalosa @Bogota_DCpic;;"682972194692050944";https://twitter.com/AmbienteBogota/status/682972194692050944
rcnradio;2016/01/01 12:10;11;3;""No habrá milagros, pero enfrentaremos las adversidades ": @EnriquePenalosa , nuevo alcalde de Bogotá #RCNLaRadio";;@EnriquePenalosa;#RCNLaRadio;"682972178141204480";https://twitter.com/rcnradio/status/682972178141204480
RedMasNoticias;2016/01/01 12:10;9;4;""No habrá milagros", dice @EnriquePenalosa, alcalde de Bogotá, y pide paciencia para "solucionar los problemas que enfrentamos".";;@EnriquePenalosa;;"682972162240692224";https://twitter.com/RedMasNoticias/status/682972162240692224
VLADDO;2016/01/01 12:10;39;44;"El alcalde @EnriquePenalosa hace inventario de todo lo malo que hay en la ciudad que recibe hoy. Buen inicio";;@EnriquePenalosa;;"682972161506709505";https://twitter.com/VLADDO/status/682972161506709505
BogotaMejorTodo;2016/01/01 12:10;5;8;"No habrá milagros. Pero estamos preparados para enfrentar los retos que tenemos”: @EnriquePenalosa #BogotáMejorParaTodos";;@EnriquePenalosa;#Bogot;"682972158428053504";https://twitter.com/BogotaMejorTodo/status/682972158428053504
JulianMazoZ;2016/01/01 12:10;0;0;"Espero que a @EnriquePenalosa le vaya muy bien en Bogotá. Lo apoyé en las presidenciales. Sus aspiraciones de poder deben pasar a resultados";;@EnriquePenalosa;;"682972132826066944";https://twitter.com/JulianMazoZ/status/682972132826066944
Jairomejal;2016/01/01 12:10;0;0;""No habrá milagros, pero estamos preparados para enfrentar las adversidades" que buena frase @EnriquePenalosa";;@EnriquePenalosa;;"682972130527580160";https://twitter.com/Jairomejal/status/682972130527580160
ginettelozano;2016/01/01 12:10;0;0;""Vamos a superar las adversidades, pueden estar tranquilos: paciencia y colaboración" @EnriquePenalosa #BogotáMejorParaTodos";Bogotá, D.C., Colombia;@EnriquePenalosa;#Bogot;"682972115440631812";https://twitter.com/ginettelozano/status/682972115440631812
BogotaET;2016/01/01 12:10;20;22;""No habrá milagros", pero sí trabajo. @EnriquePenalosa dice que hará el mejor gobierno posible #PosesiónPeñalosa";;@EnriquePenalosa;#Posesi;"682972112471080960";https://twitter.com/BogotaET/status/682972112471080960
juanpaquintero;2016/01/01 12:10;0;1;"Retos para los nuevos mandatarios: Mejorar la Movilidad @FicoGutierrez @EnriquePenalosa @veranodelarosa";Medellín, Colombia;@FicoGutierrez @EnriquePenalosa @veranodelarosa;;"682972106552963072";https://twitter.com/juanpaquintero/status/682972106552963072
ElCholoSoyYo;2016/01/01 12:10;0;0;"Si ud está viendo la posesión de @EnriquePenalosa a pesar de su guayabo, es de los míos. #Bogotá";;@EnriquePenalosa;#Bogot;"682972100542492672";https://twitter.com/ElCholoSoyYo/status/682972100542492672
